fdc_id,food_name,calories,protein,carbs,fat,source
320256,"MILK, 2% ",,,,,USDA
320257,"MILK, 2% ",,,,1.81,USDA
320258,"MILK, 2% ",,,,,USDA
320259,"MILK, 2% ",,,,,USDA
320260,"MILK, 2% ",,,,,USDA
320261,"MILK, 2% ",,,,,USDA
320262,"MILK, 2% ",,,,,USDA
320263,"MILK, 2% ",,,,,USDA
320264,"MILK, 2% ",,,,,USDA
320265,"MILK, 2% ",,,,,USDA
320266,"MILK, 2% ",,,,,USDA
320267,"MILK, 2% ",,,,,USDA
320268,"Milk, 2%",,,,,USDA
320269,"Milk, 2%",,,,,USDA
320270,"Milk, 2%",,,,,USDA
320271,"Milk, 2%",,,,,USDA
320272,"Milk, 2%",,,,,USDA
320273,"MILK, 2% (WAVE 22E)",,,,,USDA
320274,"MILK, 2% (WAVE 22E)",,,,,USDA
320275,"MILK, 2% (WAVE 22E)",,,,,USDA
320276,"MILK, 2% (WAVE 22E)",,,,,USDA
320277,"MILK, 2% ",,,,,USDA
320278,"MILK, 2% ",,,,,USDA
320279,"MILK, 2% ",,,,1.93,USDA
320280,"MILK, 2% ",,,,,USDA
320281,"MILK, 2% ",,,,,USDA
320282,"MILK, 2% ",,,,,USDA
320283,"MILK, 2% ",,,,,USDA
320284,"MILK, 2% ",,,,,USDA
320285,"MILK, 2% ",,,,,USDA
320286,"MILK, 2% ",,,,,USDA
320287,"MILK, 2% ",,,,,USDA
320288,"MILK, 2% ",,,,,USDA
320289,"MILK, 2% ",,,,,USDA
320290,"Milk, 2%",,,,,USDA
320291,"Milk, 2%",,,,,USDA
320292,"Milk, 2%",,,,,USDA
320293,"Milk, 2%",,,,,USDA
320294,"Milk, 2%",,,,,USDA
320295,"Milk, 2%",,,,,USDA
320296,"MILK, 2% (WAVE 22E)",,,,,USDA
320297,"MILK, 2% (WAVE 22E)",,,,,USDA
320298,"MILK, 2% (WAVE 22E)",,,,,USDA
320299,"MILK, 2% (WAVE 22E)",,,,,USDA
320300,"MILK, 2% ",,,,1.97,USDA
320301,"MILK, 2% ",,,,,USDA
320302,"MILK, 2% ",,,,,USDA
320303,"MILK, 2% ",,,,,USDA
320304,"MILK, 2% ",,,,,USDA
320305,"MILK, 2% ",,,,,USDA
320306,"MILK, 2% (WAVE 22E)",,,,,USDA
320307,"MILK, 2% (WAVE 22E)",,,,,USDA
320308,"MILK, 2% (WAVE 22E)",,,,,USDA
320309,"MILK, 2% ",,,,1.94,USDA
320310,"MILK, 2% ",,,,,USDA
320311,"MILK, 2% ",,,,,USDA
320312,"MILK, 2% (WAVE 22E)",,,,,USDA
320313,"MILK, 2% (WAVE 22E)",,,,,USDA
320314,"MILK, 2% (WAVE 22E)",,,,,USDA
320315,"MILK, 2% ",,,,,USDA
320316,"MILK, 2% ",,,,,USDA
320317,"MILK, 2% ",,,,1.92,USDA
320318,"MILK, 2% ",,,,,USDA
320319,"MILK, 2% ",,,,,USDA
